english,runyoro
"The tornado destroys the school, but fortunately no children were there at the time.","Akairiringwa kusiisa isomero, kyonka omugisa abaana bakaba bataliyo obwire obwo."
"The tornado will destroy the school, but fortunately no children were there at the time.","Akairiringwa nikaija kusiisa isomero, kyonka omugisa murungi abaana bakaba bataliyo obwire obwo."
"The tornado has destroyed the school, but fortunately no children were there at the time.","Akairiringwa kusiisire isomero, kyonka omugisa abaana bakaba bataliyo obwire obwo."
Intermarriage has created cultural exchange.,Okuswerrana kulesireho okuterana okwamahanga
Intermarriage creates cultural exchange.,Okuzaarana hagati y’amaka n’amahanga kuleeta okuhingisaniza engeso n’obuhangwa.
Intermarriage created cultural exchange.,Okuzaarana hagati y’amaka n’amahanga kukaleeta okuhingisaniza engeso n’obuhangwa.
Intermarriage will create cultural exchange.,Okuzaarana hagati y’amaka n’amahanga nikuja kukaleeta okuhingisaniza engeso n’obuhangwa.
The conservationist were studying the behavior of mountain gorillas when they observed tool use.,Abalinzi bebitwehinguliriize babaire nibekebiija engeso yebikuya byahansozi obubarozire ebintu ebikozesiibwe.
The penguin slid on its belly across the ice to reach the water.,ekinyonyi rururbatatoro kirekuurra handa kyacwanganiza ebiruka nukwo kihikeho amaizi
I've been having trouble focusing at work.,Ntaaha nyine obulemeezi kutekaho omutima habintu nkukora.
I had trouble focusing at work.,Ntugireege obuzibu nokuteekana hamulimo
I will have trouble focusing at work.,Ninja kutunga obuzibu nokuteekana hamulimo
I have had trouble focusing at work.,Ntugireemu obuzibu nokuteekana hamulimo
I loved when the teacher would read aloud to us—even in high school.,nagonzaga obwomumwegesa rundi omusomesa yasomaga bbwa nayatura ebigambo hali itwe nobundaaba nkaaba omu kilassa za haigure omu lsomero
I loved when the teacher would read aloud to us — even in high school.,Nagonzaga obu omusomesa yatusomeraga itweena omu high school
I will love when the teacher would read aloud to us — even in high school.,Ninja kukigonzaga obu omusomesa yatusomeraga itweena omu high school
I have loved when the teacher would read aloud to us — even in high school.,Ngondezege obu omusomesa yatusomeraga itweena omu high school
The hospital has a maternity ward with private rooms.,Irwarro line ekisiika ky'abakazi benda nabaruku zaara hamu n'ebisika nambere omurwaire akusasurra obujanjabi.
The hospital had a maternity ward with private rooms.,Irwaaro likaba liine hokuzaara nebisiika ebyesonsoire
The hospital will have a maternity ward with private rooms.,Irwaaro niriija kuba nahokuzaara nebisiika ebyesonsoire
The hospital has had a maternity ward with private rooms.,Irwaaro niriija kuba nahokuzaara nebisiika ebyesonsoire
Royal wives held significant status in the kingdom.,Abago babaga bekitinisa omubukama.
Royal wives will hold significant status in the kingdom.,Abaago nibajakukwaita ekikaaro kyahaiguru omukikaali
Royal wives have held significant status in the kingdom.,Abaago bakwaata ekikaaro kyahaiguru omukikaali
Milton Obote led Uganda to independence in 1962.,Milton Obote akebembera Uganda okuhika ha kwereme.
Milton Obote will lead Uganda to independence in 1962.,Milton Obote naijakuhikya Uganda ha mefuuga ga nkaaga nebiiri
Milton Obote has led Uganda to independence in 1962.,Milton Obote ahikize Uganda ha mefuuga ga nkaaga nebiiri
How many units of blood did the patient receive?,Omurwaire atungire esagama erukwingana nkaha?
How many units of blood will do the patient receive?,Omurwaira naija kutuunga omusaahi gurukwingana nkaaha?
How many units of blood has done the patient receive?,Omurwaira atungiire omusaahi gurukwingana nkaaha?
Benedicto Kiwanuka became Uganda's first chief minister.,Benedicto Kiwanuka nuwe yabandize okuba mukuru wa baminista.
Benedicto Kiwanuka will become Uganda's first chief minister.,Benedicto Kiwanuka aliba Omukuru wa Gavumenti ow’okubanza omu Uganda.
Benedicto Kiwanuka has become Uganda's first chief minister.,Benedicto Kiwanuka abaire Omukuru wa Gavumenti ow’okubanza omu Uganda.
She underwent fertility treatment for two years.,Akateekwa ha mubazi ogurukuleeta oruzaaro kumarra emyaka ebiri.
She will undergo fertility treatment for two years.,Alihebwa obujanjabi bw’okwongera obuzaarwa kumara emyaka ebiri.
She has undergone fertility treatment for two years.,Abaire ahebwa obujanjabi bw’okwongera obuzaarwa kumara emyaka ebiri.
"The food in that market was so good ,l went back four times in two days",Ebyokulya by'omu katale bikaba birungi muno kandi nkagyayo kugora emirundiena omubiro bibiri.
"The food in that market was so good, l went back four times in two days","Ebyokulya omu katale ako bikaba birungi muno, nkagarukayo emirundi ena omu biro bibiri."
"The food in that market will so be good, l went back four times in two days","Ebyokulya omu katale ako biriba birungi muno, nkagarukayao emirundi ena omu biro bibiri."
"The food in that market has so been good, l went back four times in two days","Ebyokulya omu katale ako bibaire birungi muno, nkagarukayo emirundi ena omu biro bibiri."
Our clan has known its totem animal since ancient times.,Kuruga ira na ira oruganda rwaitu rukamanya ekisoro eky'omuziro gwabu.
Our clan knew its totem animal since ancient times.,Ekika kyaitu kikamanyaga akamanyiso kaakyo kuruga ira muno.
Our clan will know its totem animal since ancient times.,Ekika kyaitu kirimanya akamanyiso kaakyo ira muno
"If you're grateful for your education, tell someone who made it possible.",Obworaba noyeuliza muno KWEEGA gambiraho OGU ayakisobozeseze kubaho.
"If you was grateful for your education, tell someone who made it possible.","Obu oraabe wakasiimire eby'okwega byawe, gambira omuntu eyabikusobozese."
"If you will be grateful for your education, tell someone who made it possible.","Obu orisiima eby'okwega byawe, gambira omuntu eyabikusobozesa."
"If you have been grateful for your education, tell someone who made it possible.","Obu oraabe osiimire eby'okwega byawe, gambira omuntu eyabikusobozese."
The new crop variety will be resistant to disease.,Omulingo omuhyaka ogwekirimwa nigwija kugumira oburwaire.
The new crop variety is resistant to disease.,Ekika ekihsyaka eky'ebihingwa kigumira endwara.
The new crop variety was resistant to disease.,Ekika ekihsyaka eky'ebihingwa kikagumiraga endwara.
The new crop variety has been resistant to disease.,Ekika ekihsyaka eky'ebihingwa kigumire endwara.
I don't give to be seen-I give because I've been given so much.,Tingaba nukwo bandole baitu habwokuba nyowe nkaheebwa bingi.
I did not give to be seen-I give because I've been given so much.,Tindahaire kugira ngu bandole mpa ahabw'okuba nanyowe nahairebwe bingi muno.
I will not give to be seen-I give because I've been given so much.,Tindiriha kugira ngu bandole mpa ahabw'okuba nanyowe nahairebwe bingi muno.
I have not given to be seen-I give because I've been given so much.,Tindahaire kugira ngu bandole mpa ahabw'okuba nanyowe nahairebwe bingi muno.
