english,runyoro
"If you're unsure about your path, that's okay—most people are.","Obworaaba otarukugumya kurung muhanda orukutoma , tikiri kyawe wenka na abantu abandi baingi nabo nuko bali bati."
"If you was unsure about your path, that's okay — most people are.","kakuba okaba otakwesiga omuhanda gwawe, tikine buzibu- abantu abakusinga bali"
"If you will be unsure about your path, that's okay — most people are.","kakuba noija okutesiga omuhanda gwawe, tikine buzibu- abantu abakusinga bali"
"If you have been unsure about your path, that's okay — most people are.","kakuba oba otakwesiga omuhanda gwawe, tikine buzibu- abantu abakusinga bali"
Traditional political systems balanced various interests.,Obuleemi obwenzaarwa kwainganizaaga okugonza okutali kumu.
Traditional political systems will balance various interests.,obutegeki bwendema y'obuhangwa nibwija okwinganiza ebintu ebyomugaso
Traditional political systems have balanced various interests.,obutegeki bwendema y'obuhangwa bwinganize ebintu ebyomugaso
The environmental education center has trained thousands of teachers in environmental topics.,"Ha kitebe kyebyenyegesa habwebitwehiliriize, basomeseze enkumi z'abasomsa hamitwe y'ebintu ebitwehinguliriize."
The environmental education center trains thousands of teachers in environmental topics.,ekicweka kyenyegesa ey'obuhangwa kyegesa ekumi nekumi zabasomesa omubicweka by'obuhangwa
The environmental education center trained thousands of teachers in environmental topics.,ekicweka kyenyegesa ey'obuhangwa kyegeseze ekumi nenkumi zabasomesa omubicweka by'obuhangwa
The environmental education center will train thousands of teachers in environmental topics.,ekicweka kyenygesa ey'obuhangwa nikija okusomesa ekumi nekumi zabasomesa omubicweka by'obuhangwa
The elephant seal bellowed loudly to defend its territory on the beach.,ekyomumaizi rwakaako kikafuuha amaizi namaani kulinda omwaanya gwaakyo hamusa
The elephant seal loudly bellowed to defend its territory on the beach.,enjojo ekaboroga niraka eryahaguru okulinda esarosaro zayo hamaizi
The elephant seal will loudly bellow to defend its territory on the beach.,enjojo nija okuboroga niraka eryahaiguru okulinda ensarosaro zayo ahamaizi
The elephant seal has loudly bellowed to defend its territory on the beach.,enjojo eborogere niraka eryahaguru okulinda esarosaro zayo ahamaizi
The sardines packed together tightly to confuse the larger fish.,encu nyakitoito rwebiriisa zikerwanda hamu kuburangaruza encu enkooto
The sardines together tightly packed to confuse the larger fish.,mukene zona zikekwata hamu okuburanganiza esamaki enkoto
The sardines will together tightly pack to confuse the larger fish.,mukene nizija okwesora hamu zona okuburanganiza esamaki ekontu
The sardines have together tightly packed to confuse the larger fish.,mukene zesoroize hamu zona okuburanganiza esamaki enkoto
The audience is holding up their phones to record the performance.,Abasungi esimu zaaba baziimukize nukwo bakwaate amaraka 'ebirukukorra.
The audience held up their phones to record the performance.,ekitebe kyabntu kikaihayo amasimu gabo okukwata obutambi bw'omwolekyo
The audience will hold up their phones to record the performance.,ekitebe kyabantu nikija okukwihayo amasimu gabo okukwata obutambi bw'omwolekyo
The audience has held up their phones to record the performance.,ekitebe kyabantu kihireyo amasimu gabo okukwata obutambi bw'omwolekyo
The one who told me was your brother.,ayangambire akaba mugenzi wawe omwi
The one who will tell me was your brother.,arukwija okungambira naija okuba mugenzi wawe omwojo
The one who has told me was your brother.,agambire abaire mugenzi wawe omwojo
The artist will paint a mural on the school wall next week.,omwehanahangi naija kuteera ekisisani nyamugundu ha kisiika kyisomero sabiiti erukwija
The artist paints a mural on the school wall next week.,omusigi asigire ekisisani hakisika kisomero wiiki erukwija
The artist painted a mural on the school wall next week.,omusigi akasiga ekisisani hakisika kisomero wiiki erukwija
The artist has painted a mural on the school wall next week.,omusigi asigire ekisisani hakisika kisomero wiiki erukwija
She suffered a fractured hip in the fall.,Akacweka enyugunyu obu yagwire.
She will suffer a fractured hip in the fall.,naija okubonabona nigufwa ly'enyugunyu eryahendekere omukugwa
She has suffered a fractured hip in the fall.,aboineboine nigufwa ly'enyugunyu eryahendekere omukugwa
We will name our son after the warrior who protected our village.,Ibara ly'omurwani ayalinzire ekyaro kyaitu nitwija kuliruka mutabani waitu.
We name our son after the warrior who protected our village.,tukaruka ebira omwana waitu hanyuma y'emanzi eyalinzire ekyaro kyaitu
We named our son after the warrior who protected our village.,turukire ebira omwana waitu hanyuma y'emanzi eyalinzire ekyaro kayaitu
We have named our son after the warrior who protected our village.,turukire omwana waitu hanyuma y'emanzi eyalinzire ekyaro kyatu
If you've ever accidentally sent a text to the wrong person . you know that immediate panic.,"Obu oraaba wakasindikaga obutamwa otakigreriire ha muntu ou atali nuwe, omanyire ku kana okwahonaaho."
If you ever accidentally sent a text to the wrong person. you know that immediate panic.,kakuba oba osindikire obutumwa hali omuntu atli nuwe otakigenderire. Nomanya ebikaratima byahonaho
If you will ever accidentally send a text to the wrong person. you know that immediate panic.,kakuba noija okusindika obutumwa hali omuntu atali nuwe otakigenderire. Noija okumanya ebikaratima byahonaho
If you have ever accidentally sent a text to the wrong person. you know that immediate panic.,kakuba obaire osindikire obutumwa hali omuntu atali nuwe otakigenderire. Nomanya ebikaratima byahonaho
The Uganda protectorate faced resistance from various groups.,Endema eya matwale omu Uganda ekangirirwa ebitongole ebyabantu abatali bamu.
The Uganda protectorate will face resistance from various groups.,ekitebbe kya uganda porotekita nikija okutangatangana okuhakanizibwa omubitebbe ebindi
The Uganda protectorate has faced resistance from various groups.,ekitebbe kya uganda porotekita kitangatangaine okuhakanizibwa hali ebitebbe ebindi
